,city_name_from_gosuslugi,number_of_votes_ucn2025
84,"м.р-н Дзержинский, с.п. Денисовский сельсовет, д Топол",1
85,"м.р-н Дзержинский, с.п. Курайский сельсовет, с Курай",1
86,"м.р-н Дзержинский, с.п. Орловский сельсовет, с Орловка",1
87,"м.р-н Емельяновский, с.п. Устюгский сельсовет, с Гляден",1
88,"м.р-н Емельяновский, с.п. Шуваевский сельсовет, с Совхоз Сибиряк",1
89,"м.р-н Енисейский, с.п. Кривлякский сельсовет, д Никулино",1
90,"м.р-н Енисейский, с.п. Маковский сельсовет, д Айдара",1
91,"м.р-н Енисейский, с.п. Малобельский сельсовет, д Малобелая",1
92,"м.р-н Енисейский, с.п. Усть-Питский сельсовет, с Усть-Пит",1
93,"м.р-н Ермаковский, с.п. Араданский сельсовет, п Арадан",1
94,"м.р-н Ермаковский, с.п. Верхнеусинский сельсовет, с Нижнеусинское",1
95,"м.р-н Иланский, с.п. Новогородский сельсовет, д Тарака",1
96,"м.р-н Иланский, с.п. Новогородский сельсовет, с Новогородка",1
97,"м.р-н Ирбейский, с.п. Тальский сельсовет, с Талое",1
98,"м.р-н Ирбейский, с.п. Юдинский сельсовет, д Нагорная",1
99,"м.р-н Казачинский, с.п. Рождественский сельсовет, с Рождественское",1
100,"м.р-н Канский, с.п. Браженский сельсовет, п Степняки",1
101,"м.р-н Канский, с.п. Краснокурышинский сельсовет, д Пермяково",1
102,"м.р-н Канский, с.п. Терский сельсовет, д Комарово",1
103,"м.р-н Кежемский, с.п. Ирбинский сельсовет, с Ирба",1
104,"м.р-н Кежемский, с.п. Недокурский сельсовет, п Недокура",1
105,"м.р-н Курагинский, с.п. Алексеевский сельсовет, с Алексеевка",1
106,"м.р-н Курагинский, с.п. Брагинский сельсовет, с Брагино",1
107,"м.р-н Манский, с.п. Кияйский сельсовет, с Кияй",1
108,"м.р-н Манский, с.п. Унгутский сельсовет, п Жержул",1
109,"м.р-н Минусинский, с.п. Городокский сельсовет, с Николо-Петровка",1
110,"м.р-н Минусинский, с.п. Знаменский сельсовет, с Верхняя Коя",1
111,"м.р-н Нижнеингашский, г.п. поселок Нижний Ингаш, д Новая Пойма",1
112,"м.р-н Рыбинский, с.п. Бородинский сельсовет, д Лозовая",1
113,"м.р-н Рыбинский, с.п. Красногорьевский сельсовет, с Красногорьевка",1
114,"м.р-н Рыбинский, с.п. Малокамалинский сельсовет, с Малая Камала",1
115,"м.р-н Рыбинский, с.п. Новокамалинский сельсовет, д Воскресенка",1
116,"м.р-н Рыбинский, с.п. Новокамалинский сельсовет, с Гмирянка",1
117,"м.р-н Рыбинский, с.п. Новосолянский сельсовет, д Рябинки",1
118,"м.р-н Сухобузимский, с.п. Атамановский сельсовет, п Исток",1
119,"м.р-н Сухобузимский, с.п. Атамановский сельсовет, п Мингуль",1
120,"м.р-н Сухобузимский, с.п. Высотинский сельсовет, д Седельниково",1
121,"м.р-н Сухобузимский, с.п. Подсопочный сельсовет, д Карымская",1
122,"м.р-н Сухобузимский, с.п. Сухобузимский сельсовет, д Толстомысово",1
123,"м.р-н Таймырский Долгано-Ненецкий, с.п. Караул, п Воронцово",1
124,"м.р-н Тасеевский, с.п. Вахрушевский сельсовет, с Унжа",1
125,"м.р-н Тасеевский, с.п. Сивохинский сельсовет, д Лукашино",1
126,"м.р-н Тасеевский, с.п. Сивохинский сельсовет, с Сивохино",1
127,"м.р-н Тасеевский, с.п. Хандальский сельсовет, с Бакчет",1
128,"м.р-н Туруханский, межсел.тер. Межселенная территория Туруханского муниципального района, включающая п Ангутиха, с Бакланиха, п Бахта и др., с Верещагино",1
129,"м.р-н Туруханский, с.п. Вороговский сельсовет, п Индыгино",1
130,"м.р-н Ужурский, с.п. Златоруновский сельсовет, п Сухая Долина",1
131,"м.р-н Уярский, с.п. Восточный сельсовет, д Воронино",1
132,"м.р-н Уярский, с.п. Новопятницкий сельсовет, д Новоалександровка",1
133,"м.р-н Уярский, с.п. Сушиновский сельсовет, д Семеновка",1
134,"м.р-н Шушенский, с.п. Каптыревский сельсовет, с Новопокровка",1
135,"м.р-н Шушенский, с.п. Сизинский сельсовет, п Красный Хутор",1
136,"м.р-н Шушенский, с.п. Синеборский сельсовет, п Веселые Ключи",1
137,"м.р-н Эвенкийский, с.п. поселок Куюмба, п Куюмба",1
138,"м.р-н Эвенкийский, с.п. поселок Нидым, п Нидым",1
